Player,Country,Span,Mat,Inn,NO,Runs,HS,Avg,Hundreds,Fifties,0
KJ Funston (SA),SA,1952-1958,18,33,1,824,92,25.75,0,5,2
SM Warnapura (SL),WORLD,2007-2009,14,24,1,821,120,35.69,2,7,5
AJ Pithey (SA),SA,1957-1965,17,27,1,819,154,31.5,1,4,2
WW Hall (WI),WORLD,1958-1969,48,66,14,818,50*,15.73,0,2,7
Sikandar Raza (ZIM),WORLD,2013-2018,12,24,0,818,127,34.08,1,6,3
Soumya Sarkar (BDESH),WORLD,2015-2019,15,28,0,818,149,29.21,1,4,1
Khurram Manzoor (PAK),WORLD,2009-2014,16,30,1,817,146,28.17,1,7,3
J Briggs (ENG),WORLD,1884-1899,33,50,5,815,121,18.11,1,2,10
AR MacGibbon (NZ),WORLD,1951-1958,26,46,5,814,66,19.85,0,3,7
TR Veivers (AUS),AUS,1963-1967,21,30,4,813,88,31.26,0,7,3
BR Knight (ENG),WORLD,1961-1969,29,38,7,812,127,26.19,2,0,2
NWD Yardley (ENG),WORLD,1938-1950,20,34,2,812,99,25.37,0,4,2
AJ Watkins (ENG),WORLD,1948-1952,15,24,4,810,137*,40.5,2,4,2
TR Gripper (ZIM),WORLD,1999-2004,20,38,1,809,112,21.86,1,5,5
JEC Franklin (NZ),WORLD,2001-2013,31,46,7,808,122*,20.71,1,2,6
FA Iredale (AUS),AUS,1894-1899,14,23,1,807,140,36.68,2,4,2
JR Ratnayeke (SL),WORLD,1982-1989,22,38,6,807,93,25.21,0,5,5
JW Hearne (ENG),WORLD,1911-1926,24,36,5,806,114,26,1,2,3
RAS Lakmal (SL),WORLD,2010-2019,59,93,23,804,42,11.48,0,0,18
Wazir Mohammad (PAK),WORLD,1952-1959,20,33,4,801,189,27.62,2,3,8
JM Blackham (AUS),AUS,1877-1894,35,62,11,800,74,15.68,0,4,6
Mashrafe Mortaza (BDESH),WORLD,2001-2009,36,67,5,797,79,12.85,0,3,12
GH Hirst (ENG),WORLD,1897-1909,24,38,3,790,85,22.57,0,5,5
GB Hole (AUS),AUS,1951-1955,18,33,2,789,66,25.45,0,6,2
PJ Sharpe (ENG),WORLD,1963-1969,12,21,4,786,111,46.23,1,4,1
MG Bevan (AUS),AUS,1994-1998,18,30,3,785,91,29.07,0,6,4
PR Downton (ENG),WORLD,1981-1988,30,48,8,785,74,19.62,0,4,4
CF Walters (ENG),WORLD,1933-1934,11,18,3,784,102,52.26,1,7,0
W Mathias (PAK),WORLD,1955-1962,21,36,3,783,77,23.72,0,3,3
Mohammad Wasim (PAK),WORLD,1996-2000,18,28,2,783,192,30.11,2,2,3
SFAF Bacchus (WI),WORLD,1978-1982,19,30,0,782,250,26.06,1,3,7
KK Jennings (ENG),WORLD,2016-2019,17,32,1,781,146*,25.19,2,1,4
WK Lees (NZ),WORLD,1976-1983,21,37,4,778,152,23.57,1,1,4
CZ Harris (NZ),WORLD,1992-2002,23,42,4,777,71,20.44,0,5,9
NRD Compton (ENG),WORLD,2012-2016,16,30,3,775,117,28.7,2,2,3
RWT Key (ENG),WORLD,2002-2005,15,26,1,775,221,31,1,3,2
JM How (NZ),WORLD,2006-2009,19,35,1,772,92,22.7,0,4,4
JA Snow (ENG),WORLD,1965-1976,49,71,14,772,73,13.54,0,2,17
DAJ Holford (WI),WORLD,1966-1977,24,39,5,768,105*,22.58,1,3,3
SK Raina (INDIA),INDIA,2010-2015,18,31,2,768,120,26.48,1,7,8
A Turner (AUS),AUS,1975-1977,14,27,1,768,136,29.53,1,3,2
AME Roberts (WI),WORLD,1974-1983,47,62,11,762,68,14.94,0,3,6
AJ Hall (SA),SA,2002-2007,21,33,4,760,163,26.2,1,3,7
Sami Aslam (PAK),WORLD,2015-2017,13,25,1,758,91,31.58,0,7,0
LE Favell (AUS),AUS,1954-1961,19,31,3,757,101,27.03,1,5,2
HD Rutherford (NZ),WORLD,2013-2015,16,29,1,755,171,26.96,1,1,2
RR Pant (INDIA),INDIA,2018-2019,11,18,1,754,159*,44.35,2,2,1
Mohammad Amir (PAK),WORLD,2009-2019,36,67,11,751,48,13.41,0,0,7
GOB Allen (ENG),WORLD,1930-1948,25,33,2,750,122,24.19,1,3,1
S Venkataraghavan (INDIA),INDIA,1965-1983,57,76,12,748,64,11.68,0,2,13
Nasim-ul-Ghani (PAK),WORLD,1958-1973,29,50,5,747,101,16.6,1,2,8
R Abel (ENG),WORLD,1888-1902,13,22,2,744,132*,37.2,2,2,1
Haris Sohail (PAK),WORLD,2017-2019,13,22,1,744,147,35.42,2,2,1
Liton Das (BDESH),WORLD,2015-2019,18,31,1,744,94,24.8,0,4,1
SJ Harmison (ENG/ICC),WORLD,2002-2009,63,86,23,743,49*,11.79,0,0,21
GAR Lock (ENG),WORLD,1952-1968,49,63,9,742,89,13.74,0,3,8
MJ Santner (NZ),WORLD,2015-2019,22,29,0,741,126,25.55,1,2,2
PL Symcox (SA),SA,1993-1998,20,27,1,741,108,28.5,1,4,1
RS Modi (INDIA),INDIA,1946-1952,10,17,1,736,112,46,1,6,0
EAS Prasanna (INDIA),INDIA,1962-1978,49,84,20,735,37,11.48,0,0,15
FR Brown (ENG),WORLD,1931-1953,22,30,1,734,79,25.31,0,5,1
RW Morgan (NZ),WORLD,1965-1972,20,34,1,734,97,22.24,0,5,5
JJ Lyons (AUS),AUS,1887-1897,14,27,0,731,134,27.07,1,3,1
J Arun Lal (INDIA),INDIA,1982-1989,16,29,1,729,93,26.03,0,6,1
MD Bell (NZ),WORLD,1998-2008,18,32,2,729,107,24.3,2,3,7
DJ Nash (NZ),WORLD,1992-2001,32,45,14,729,89*,23.51,0,4,5
W Barnes (ENG),WORLD,1880-1890,21,33,2,725,134,23.38,1,5,3
N Deonarine (WI),WORLD,2005-2013,18,30,2,725,82,25.89,0,5,3
DJ Malan (ENG),WORLD,2017-2018,15,26,0,724,140,27.84,1,6,1
CB van Ryneveld (SA),SA,1951-1958,19,33,6,724,83,26.81,0,3,2
CS Dempster (NZ),WORLD,1930-1933,10,15,4,723,136,65.72,2,5,0
WW Read (ENG),WORLD,1882-1893,18,27,1,720,117,27.69,1,5,0
NV Knight (ENG),WORLD,1995-2001,17,30,0,719,113,23.96,1,4,1
Asim Kamal (PAK),WORLD,2003-2005,12,20,1,717,99,37.73,0,8,2
AV Bedser (ENG),WORLD,1946-1955,51,71,15,714,79,12.75,0,1,11
RG Archer (AUS),AUS,1953-1956,19,30,1,713,128,24.58,1,2,4
DG Brownlie (NZ),WORLD,2011-2013,14,25,1,711,109,29.62,1,4,3
JDS Neesham (NZ),WORLD,2014-2017,12,22,1,709,137*,33.76,2,4,2
D Bishoo (WI),WORLD,2011-2018,36,61,15,707,45,15.36,0,0,10
VY Richardson (AUS),AUS,1924-1936,19,30,0,706,138,23.53,1,1,5
I Sharma (INDIA),INDIA,2007-2019,96,127,43,703,57,8.36,0,1,31
W Bruce (AUS),AUS,1885-1895,14,26,2,702,80,29.25,0,5,1
ARS Silva (SL),WORLD,2017-2019,12,23,3,702,109,35.1,1,5,2
Yasir Shah (PAK),WORLD,2014-2019,38,57,6,702,113,13.76,1,0,9
EJG Morgan (ENG),WORLD,2010-2012,16,24,1,700,130,30.43,2,3,4
M Ntini (SA),SA,1998-2009,101,116,45,699,32*,9.84,0,0,21
EL Dalton (SA),SA,1929-1939,15,24,2,698,117,31.72,2,3,1
WM Darling (AUS),AUS,1978-1979,14,27,1,697,91,26.8,0,6,1
DR Pringle (ENG),WORLD,1982-1992,30,50,4,695,63,15.1,0,1,6
IC Davis (AUS),AUS,1973-1977,15,27,1,692,105,26.61,1,4,3
Hanumant Singh (INDIA),INDIA,1964-1969,14,24,2,686,105,31.18,1,5,3
Al Sahariar (BDESH),WORLD,2000-2003,15,30,0,683,71,22.76,0,4,2
CJ Anderson (NZ),WORLD,2013-2016,13,22,1,683,116,32.52,1,4,3
FL Fane (ENG),WORLD,1906-1910,14,27,1,682,143,26.23,1,3,3
VA Holder (WI),WORLD,1969-1979,40,59,11,682,42,14.2,0,0,7
A Bacher (SA),SA,1965-1970,12,22,1,679,73,32.33,0,6,1
JR Thomson (AUS),AUS,1972-1985,51,73,20,679,49,12.81,0,0,14
RW Chakabva (ZIM),WORLD,2011-2018,14,28,2,678,101,26.07,1,4,2
JC Laker (ENG),WORLD,1948-1959,46,63,15,676,63,14.08,0,2,6
JB Statham (ENG),WORLD,1951-1965,70,87,28,675,38,11.44,0,0,13
DS Steele (ENG),WORLD,1975-1976,8,16,0,673,106,42.06,1,5,1
J Garner (WI),WORLD,1977-1987,58,68,14,672,60,12.44,0,1,17
H Verity (ENG),WORLD,1931-1939,40,44,12,669,66*,20.9,0,3,4
BA Pocock (NZ),WORLD,1993-1997,15,29,0,665,85,22.93,0,6,4
JJ Kelly (AUS),AUS,1896-1905,36,56,17,664,46*,17.02,0,0,7
DPB Morkel (SA),SA,1927-1932,16,28,1,663,88,24.55,0,4,3
Hannan Sarkar (BDESH),WORLD,2002-2004,17,33,0,662,76,20.06,0,5,5
AB Barath (WI),WORLD,2009-2012,15,28,0,657,104,23.46,1,4,2
KD Boyce (WI),WORLD,1971-1976,21,30,3,657,95*,24.33,0,4,4
W Bates (ENG),WORLD,1881-1887,15,26,2,656,64,27.33,0,5,0
BS Bedi (INDIA),INDIA,1966-1979,67,101,28,656,50*,8.98,0,1,20
JFM Morrison (NZ),WORLD,1973-1982,17,29,0,656,117,22.62,1,3,4
Mushtaq Ahmed (PAK),WORLD,1990-2003,52,72,16,656,59,11.71,0,2,14
Mansoor Akhtar (PAK),WORLD,1980-1990,19,29,3,655,111,25.19,1,3,4
C Milburn (ENG),WORLD,1966-1969,9,16,2,654,139,46.71,2,2,1
JH Wardle (ENG),WORLD,1948-1957,28,41,8,653,66,19.78,0,2,5
AA Donald (SA),SA,1992-2002,72,94,33,652,37,10.68,0,0,17
HJH Marshall (NZ),WORLD,2000-2006,13,19,2,652,160,38.35,2,2,1
JL Denly (ENG),WORLD,2019-2019,11,21,0,651,94,31,0,6,0
A Mishra (INDIA),INDIA,2008-2016,22,32,2,648,84,21.6,0,4,4
KJ O'Keeffe (AUS),AUS,1971-1977,24,34,9,644,85,25.76,0,1,3
GD McGrath (AUS),AUS,1993-2007,124,138,51,641,61,7.36,0,1,35
GS Camacho (WI),WORLD,1968-1971,11,22,0,640,87,29.09,0,4,1
PJ Cummins (AUS),AUS,2011-2019,29,43,6,639,63,17.27,0,2,7
AFG Griffith (WI),WORLD,1997-2000,14,27,1,638,114,24.53,1,4,4
Mehidy Hasan Miraz (BDESH),WORLD,2016-2019,22,42,6,638,68*,17.72,0,2,2
MT Renshaw (AUS),AUS,2016-2018,11,20,1,636,184,33.47,1,3,0
LN Constantine (WI),WORLD,1928-1939,18,33,0,635,90,19.24,0,4,4
IR Bishop (WI),WORLD,1989-1998,43,63,11,632,48,12.15,0,0,10
SC Cook (SA),SA,2016-2017,11,19,0,632,117,33.26,3,2,3
HG Deane (SA),SA,1924-1931,17,27,2,628,93,25.12,0,3,1
RG Twose (NZ),WORLD,1995-1999,16,27,2,628,94,25.12,0,6,5
PN Kirsten (SA),SA,1992-1994,12,22,2,626,104,31.3,1,4,2
TW Jarvis (NZ),WORLD,1965-1973,13,22,1,625,182,29.76,1,2,6
M Kaif (INDIA),INDIA,2000-2006,13,22,3,624,148*,32.84,1,3,1
PF Warner (ENG),WORLD,1899-1912,15,28,2,622,132*,23.92,1,3,4
Fazal Mahmood (PAK),WORLD,1952-1962,34,50,6,620,60,14.09,0,1,10
JAJ Christy (SA),SA,1929-1932,10,18,0,618,103,34.33,1,5,1
UDU Chandana (SL),WORLD,1999-2005,16,24,1,616,92,26.78,0,2,0
TA Boult (NZ),WORLD,2011-2019,65,80,38,615,52*,14.64,0,1,13
TMK Mawoyo (ZIM),WORLD,2011-2016,11,22,1,615,163*,29.28,1,3,2
RC Motz (NZ),WORLD,1961-1969,32,56,3,612,60,11.54,0,3,12
S Mushtaq Ali (INDIA),INDIA,1934-1952,11,20,1,612,112,32.21,2,3,1
RWV Robins (ENG),WORLD,1929-1937,19,27,4,612,108,26.6,1,4,4
JC Watkins (SA),SA,1949-1957,15,27,1,612,92,23.53,0,3,2
CS Baugh (WI),WORLD,2003-2012,21,36,2,610,68,17.94,0,3,1
SM Curran (ENG),WORLD,2018-2019,14,25,4,610,78,29.04,0,3,3
PM Pollock (SA),SA,1961-1970,28,41,13,607,75*,21.67,0,2,3
JT Ikin (ENG),WORLD,1946-1955,18,31,2,606,60,20.89,0,3,4
RJ Harris (AUS),AUS,2010-2015,27,39,11,603,74,21.53,0,3,2
RE Foster (ENG),WORLD,1903-1907,8,14,1,602,287,46.3,1,1,1
DA Murray (WI),WORLD,1978-1982,19,31,3,601,84,21.46,0,3,3
AG Steel (ENG),WORLD,1880-1888,13,20,3,600,148,35.29,2,0,1
BAG Murray (NZ),WORLD,1968-1971,13,26,1,598,90,23.92,0,5,1
TJE Andrews (AUS),AUS,1921-1926,16,23,1,592,94,26.9,0,4,0
Adnan Akmal (PAK),WORLD,2010-2014,21,29,5,591,64,24.62,0,3,2
RG Barlow (ENG),WORLD,1881-1887,17,30,4,591,62,22.73,0,2,3
HR Lance (SA),SA,1962-1970,13,22,1,591,70,28.14,0,5,1
V Sibanda (ZIM),WORLD,2003-2014,14,28,0,591,93,21.1,0,2,3
MD Craig (NZ),WORLD,2014-2016,15,25,9,589,67,36.81,0,3,1
K Rabada (SA),SA,2015-2019,41,60,10,586,34,11.72,0,0,11
MHN Walker (AUS),AUS,1972-1977,34,43,13,586,78*,19.53,0,1,5
Alok Kapali (BDESH),WORLD,2002-2006,17,34,1,584,85,17.69,0,2,6
Aftab Ahmed (BDESH),WORLD,2004-2010,16,31,3,582,82*,20.78,0,1,4
MP Donnelly (NZ),WORLD,1937-1949,7,12,1,582,206,52.9,1,4,2
PA Gibb (ENG),WORLD,1938-1946,8,13,0,581,120,44.69,2,3,1
MLC Foster (WI),WORLD,1969-1978,14,24,5,580,125,30.52,1,1,0
Umar Gul (PAK),WORLD,2003-2013,47,67,9,577,65*,9.94,0,1,15
MN Waller (ZIM),WORLD,2011-2017,14,28,1,577,72*,21.37,0,4,4
A Jadeja (INDIA),INDIA,1992-2000,15,24,2,576,96,26.18,0,4,1
RS Bopara (ENG),WORLD,2007-2012,13,19,1,575,143,31.94,3,0,5
TT Bresnan (ENG),WORLD,2009-2013,23,26,4,575,91,26.13,0,3,3
AD Hales (ENG),WORLD,2015-2016,11,21,0,573,94,27.28,0,5,0
CE McLeod (AUS),AUS,1894-1905,17,29,5,573,112,23.87,1,4,5
RS Morton (WI),WORLD,2005-2008,15,27,1,573,70*,22.03,0,4,1
AB Agarkar (INDIA),INDIA,1998-2006,26,39,5,571,109*,16.79,1,0,9
SB Doull (NZ),WORLD,1992-2000,32,50,11,570,46,14.61,0,0,10
E Chigumbura (ZIM),WORLD,2004-2014,14,27,0,569,88,21.07,0,4,6
GL Jessop (ENG),WORLD,1899-1912,18,26,0,569,104,21.88,1,3,3
DAJ Bracewell (NZ),WORLD,2011-2016,27,45,4,568,47,13.85,0,0,11
KA Maharaj (SA),SA,2016-2019,28,44,6,566,72,14.89,0,1,7
Aamer Malik (PAK),WORLD,1987-1994,14,19,3,565,117,35.31,2,3,3
EDAS McMorris (WI),WORLD,1958-1966,13,21,0,564,125,26.85,1,3,1
GO Rabone (NZ),WORLD,1949-1955,12,20,2,562,107,31.22,1,2,0
CV Grimmett (AUS),AUS,1925-1936,37,50,10,557,50,13.92,0,1,7
MF Maharoof (SL),WORLD,2004-2011,22,34,4,556,72,18.53,0,3,1
GP Wickramasinghe (SL),WORLD,1991-2001,40,64,5,555,51,9.4,0,1,17
SJE Loxton (AUS),AUS,1948-1951,12,15,0,554,101,36.93,1,3,1
N Wagner (NZ),WORLD,2012-2019,46,60,16,554,47,12.59,0,0,11
SC Williams (ZIM),WORLD,2013-2018,10,20,0,553,119,27.65,1,2,0
AG Chipperfield (AUS),AUS,1934-1938,14,20,3,552,109,32.47,1,2,1
B Kumar (INDIA),INDIA,2013-2018,21,29,4,552,63*,22.08,0,3,4
D Lloyd (ENG),WORLD,1974-1975,9,15,2,552,214*,42.46,1,0,0
S Amarnath (INDIA),INDIA,1976-1978,10,18,0,550,124,30.55,1,3,1
M Dillon (WI),WORLD,1997-2004,38,68,3,549,43,8.44,0,0,26
Iqbal Qasim (PAK),WORLD,1976-1988,50,57,15,549,56,13.07,0,1,10
JM Vince (ENG),WORLD,2016-2018,13,22,0,548,83,24.9,0,3,2
CB Llewellyn (SA),SA,1896-1912,15,28,1,544,90,20.14,0,4,6
Shoaib Akhtar (PAK),WORLD,1997-2007,46,67,13,544,47,10.07,0,0,11
WA Hadlee (NZ),WORLD,1937-1951,11,19,1,543,116,30.16,1,2,1
ML Apte (INDIA),INDIA,1952-1953,7,13,2,542,163*,49.27,1,3,1
AG Cremer (ZIM),WORLD,2005-2017,19,38,5,540,102*,16.36,1,0,7
AU Rashid (ENG),WORLD,2015-2019,19,33,5,540,61,19.28,0,2,3
LPC Silva (SL),WORLD,2006-2008,11,17,1,537,152*,33.56,1,2,3
RA Harper (WI),WORLD,1983-1993,25,32,3,535,74,18.44,0,3,5
RO Collinge (NZ),WORLD,1965-1978,35,50,13,533,68*,14.4,0,2,9
PJ Moor (ZIM),WORLD,2016-2018,8,16,1,533,83,35.53,0,5,1
PL van der Merwe (SA),SA,1963-1967,15,23,2,533,76,25.38,0,3,3
NC Johnson (ZIM),WORLD,1998-2000,13,23,1,532,107,24.18,1,4,3
HH Pandya (INDIA),INDIA,2017-2018,11,18,1,532,108,31.29,1,4,2
S Ranatunga (SL),WORLD,1994-1997,9,17,1,531,118,33.18,2,2,1
Aminul Islam (BDESH),WORLD,2000-2002,13,26,1,530,145,21.2,1,2,3
CC Griffith (WI),WORLD,1960-1969,28,42,10,530,54,16.56,0,1,5
DR Hadlee (NZ),WORLD,1969-1978,26,42,5,530,56,14.32,0,1,9
LJ Tancred (SA),SA,1902-1913,14,26,1,530,97,21.2,0,2,5
MD Stoneman (ENG),WORLD,2017-2018,11,20,1,526,60,27.68,0,5,1
CL Vincent (SA),SA,1927-1935,25,38,12,526,60,20.23,0,2,4
CS Serjeant (AUS),AUS,1977-1978,12,23,1,522,124,23.72,1,2,4
GR Dilley (ENG),WORLD,1979-1989,41,58,19,521,56,13.35,0,2,10
Shahadat Hossain (BDESH),WORLD,2005-2015,38,69,17,521,40,10.01,0,0,10
Nafees Iqbal (BDESH),WORLD,2004-2006,11,22,0,518,121,23.54,1,2,2
GJ Bonnor (AUS),AUS,1880-1888,17,30,0,512,128,17.06,1,2,5
WW Wade (SA),SA,1938-1950,11,19,1,511,125,28.38,1,3,3
WH Scotton (ENG),WORLD,1881-1887,15,25,2,510,90,22.17,0,3,2
AJY Hopkins (AUS),AUS,1902-1909,20,33,2,509,43,16.41,0,0,4
BA Richards (SA),SA,1970-1970,4,7,0,508,140,72.57,2,2,0
Maqsood Ahmed (PAK),WORLD,1952-1955,16,27,1,507,99,19.5,0,2,2
JT Murray (ENG),WORLD,1961-1967,21,28,5,506,112,22,1,2,3
RO Hinds (WI),WORLD,2002-2009,15,25,1,505,84,21.04,0,2,1
BJ Hodge (AUS),AUS,2005-2008,6,11,2,503,203*,55.88,1,2,0
BK Shepherd (AUS),AUS,1963-1965,9,14,2,502,96,41.83,0,5,1
Taslim Arif (PAK),WORLD,1980-1980,6,10,2,501,210*,62.62,1,2,1
ME Chapple (NZ),WORLD,1953-1966,14,27,1,497,76,19.11,0,3,2
JB Bolus (ENG),WORLD,1963-1964,7,12,0,496,88,41.33,0,4,0
W Larkins (ENG),WORLD,1980-1991,13,25,1,493,64,20.54,0,3,6
ML Page (NZ),WORLD,1930-1937,14,20,0,492,104,24.6,1,2,1
LR Gibbs (WI),WORLD,1958-1976,79,109,39,488,25,6.97,0,0,15
Mohammad Sami (PAK),WORLD,2001-2012,36,56,14,487,49,11.59,0,0,8
A Ward (ENG),WORLD,1893-1895,7,13,0,487,117,37.46,1,3,1
SJ Benn (WI),WORLD,2008-2015,26,39,5,486,42,14.29,0,0,7
FR Martin (WI),WORLD,1928-1931,9,18,1,486,123*,28.58,1,0,1
Imam-ul-Haq (PAK),WORLD,2018-2019,11,21,2,485,76,25.52,0,3,3
H Larwood (ENG),WORLD,1926-1933,21,28,3,485,98,19.4,0,2,4
CE Pellew (AUS),AUS,1920-1921,10,14,1,484,116,37.23,2,1,0
GJ Gilmour (AUS),AUS,1973-1977,15,22,1,483,101,23,1,3,3
PR Sleep (AUS),AUS,1979-1990,14,21,1,483,90,24.15,0,3,4
CT Radley (ENG),WORLD,1978-1978,8,10,0,481,158,48.1,2,2,1
Sabbir Rahman (BDESH),WORLD,2016-2018,11,22,2,481,66,24.05,0,4,5
RH Spooner (ENG),WORLD,1905-1912,10,15,0,481,119,32.06,1,4,2
BW Yuile (NZ),WORLD,1963-1969,17,33,6,481,64,17.81,0,1,3
JED Sealy (WI),WORLD,1930-1939,11,19,2,478,92,28.11,0,3,2
J Worrall (AUS),AUS,1885-1899,11,22,3,478,76,25.15,0,5,2
KTGD Prasad (SL),WORLD,2008-2015,25,39,2,476,47,12.86,0,0,8
LS Darling (AUS),AUS,1933-1937,12,18,1,474,85,27.88,0,3,2
A Jackson (AUS),AUS,1929-1931,8,11,1,474,164,47.4,1,2,1
MJ Hoggard (ENG),WORLD,2000-2008,67,92,27,473,38,7.27,0,0,19
TP Horan (AUS),AUS,1877-1885,15,27,2,471,124,18.84,1,1,3
SB Bangar (INDIA),INDIA,2001-2002,12,18,2,470,100*,29.37,1,3,2
WKM Benjamin (WI),WORLD,1987-1995,21,26,1,470,85,18.8,0,2,4
JT Brown (ENG),WORLD,1894-1899,8,16,3,470,140,36.15,1,1,2
JN Crawford (ENG),WORLD,1906-1908,12,23,2,469,74,22.33,0,2,1
AB Williams (WI),WORLD,1978-1979,7,12,0,469,111,39.08,2,1,1
PM Nevill (AUS),AUS,2015-2016,17,23,2,468,66,22.28,0,3,1
GH Vihari (INDIA),INDIA,2018-2019,7,12,1,466,111,42.36,1,3,1
BC Strang (ZIM),WORLD,1995-2001,26,45,9,465,53,12.91,0,1,8
RJ Peterson (SA),SA,2003-2014,15,20,3,464,84,27.29,0,3,2
JM Read (ENG),WORLD,1882-1893,17,29,2,461,57,17.07,0,2,3
PL Harris (SA),SA,2007-2011,37,48,5,460,46,10.69,0,0,9
PGV van der Bijl (SA),SA,1938-1939,5,9,0,460,125,51.11,1,2,0
CL McCool (AUS),AUS,1946-1950,14,17,4,459,104*,35.3,1,1,0
TA Ward (SA),SA,1912-1924,23,42,9,459,64,13.9,0,2,5
VJ Scott (NZ),WORLD,1946-1952,10,17,1,458,84,28.62,0,3,1
A Cotter (AUS),AUS,1904-1912,21,37,2,457,45,13.05,0,0,6
AR Lewis (ENG),WORLD,1972-1973,9,16,2,457,125,32.64,1,3,2
TE Blain (NZ),WORLD,1986-1994,11,20,3,456,78,26.82,0,2,2
TM Moody (AUS),AUS,1989-1992,8,14,0,456,106,32.57,2,3,1
JM Blanckenberg (SA),SA,1913-1924,18,30,7,455,59,19.78,0,2,2
DAS Gunaratne (SL),WORLD,2016-2017,6,10,2,455,116,56.87,1,3,1
MD Moxon (ENG),WORLD,1986-1989,10,17,1,455,99,28.43,0,3,2
BH Pairaudeau (WI),WORLD,1953-1957,13,21,0,454,115,21.61,1,3,3
BH Valentine (ENG),WORLD,1933-1939,7,9,2,454,136,64.85,2,1,0
B Wood (ENG),WORLD,1972-1978,12,21,0,454,90,21.61,0,2,1
Mohammed Shami (INDIA),INDIA,2013-2019,47,60,19,453,51*,11.04,0,1,13
Saeed Ajmal (PAK),WORLD,2009-2014,35,53,12,451,50,11,0,1,9
MA Vermeulen (ZIM),WORLD,2002-2014,9,18,0,449,118,24.94,1,2,3
WV Raman (INDIA),INDIA,1988-1997,11,19,1,448,96,24.88,0,4,4
IS Sodhi (NZ),WORLD,2013-2018,17,25,4,448,63,21.33,0,3,4
TR Ambrose (ENG),WORLD,2008-2009,11,16,1,447,102,29.8,1,3,2
TJ Friend (ZIM),WORLD,2001-2004,13,19,4,447,81,29.8,0,3,4
JL Hendriks (WI),WORLD,1962-1969,20,32,8,447,64,18.62,0,2,4
CT Bancroft (AUS),AUS,2017-2019,10,18,1,446,82*,26.23,0,3,1
NA Foster (ENG),WORLD,1983-1993,29,45,7,446,39,11.73,0,0,9
RJ Bright (AUS),AUS,1977-1986,25,39,8,445,33,14.35,0,0,6
MS Kasprowicz (AUS),AUS,1996-2006,38,54,12,445,25,10.59,0,0,7
CD Cumming (NZ),WORLD,2005-2008,11,19,2,441,74,25.94,0,1,1
Mohammad Ilyas (PAK),WORLD,1964-1969,10,19,0,441,126,23.21,1,2,1
JW Guy (NZ),WORLD,1955-1961,12,23,2,440,102,20.95,1,3,3
RM Hogg (AUS),AUS,1978-1984,38,58,13,439,52,9.75,0,1,14
WM Wallace (NZ),WORLD,1937-1953,13,21,0,439,66,20.9,0,5,0
A Chopra (INDIA),INDIA,2003-2004,10,19,0,437,60,23,0,2,1
Saleem Elahi (PAK),WORLD,1995-2003,13,24,1,436,72,18.95,0,1,6
RJ Ratnayake (SL),WORLD,1983-1992,23,36,6,433,56,14.43,0,2,5
PL Taylor (AUS),AUS,1987-1991,13,19,3,431,87,26.93,0,2,1
AA Mallett (AUS),AUS,1968-1980,38,50,13,430,43*,11.62,0,0,10
AA Baig (INDIA),INDIA,1959-1967,10,18,0,428,112,23.77,1,2,1
TB de Bruyn (SA),SA,2017-2019,12,23,1,428,101,19.45,1,0,2
SP Jones (AUS),AUS,1882-1888,12,24,4,428,87,21.4,0,1,3
Imran Nazir (PAK),WORLD,1999-2002,8,13,0,427,131,32.84,2,1,3
R Peel (ENG),WORLD,1884-1896,20,33,4,427,83,14.72,0,3,8
PW Sherwell (SA),SA,1906-1911,13,22,4,427,115,23.72,1,1,1
DR Tuffey (NZ),WORLD,2000-2010,26,36,10,427,80*,16.42,0,1,6
NM Hauritz (AUS),AUS,2004-2010,17,24,7,426,75,25.05,0,2,1
DT Ring (AUS),AUS,1948-1953,13,21,2,426,67,22.42,0,4,2
PK Amre (INDIA),INDIA,1992-1993,11,13,3,425,103,42.5,1,3,0
D Denton (ENG),WORLD,1905-1910,11,22,1,424,104,20.19,1,1,4
RW Anderson (NZ),WORLD,1976-1978,9,18,0,423,92,23.5,0,3,1
AG Kripal Singh (INDIA),INDIA,1955-1964,14,20,5,422,100*,28.13,1,2,4
GG Arnold (ENG),WORLD,1967-1975,34,46,11,421,59,12.02,0,1,5
RDB Croft (ENG),WORLD,1996-2001,21,34,8,421,37*,16.19,0,0,2
HG Vivian (NZ),WORLD,1931-1937,7,10,0,421,100,42.1,1,5,0
RB Desai (INDIA),INDIA,1959-1968,28,44,13,418,85,13.48,0,1,8
CK Kapugedera (SL),WORLD,2006-2009,8,15,3,418,96,34.83,0,4,1
CL King (WI),WORLD,1976-1980,9,16,3,418,100*,32.15,1,2,3
Naeem Islam (BDESH),WORLD,2008-2012,8,15,2,416,108,32,1,1,0
AE Relf (ENG),WORLD,1903-1914,13,21,3,416,63,23.11,0,1,1
GL Weir (NZ),WORLD,1930-1937,11,16,2,416,74*,29.71,0,3,1
JL Pattinson (AUS),AUS,2011-2019,20,24,9,415,47*,27.66,0,0,2
GC Grant (WI),WORLD,1930-1935,12,22,6,413,71*,25.81,0,3,1
AG Fairfax (AUS),AUS,1929-1931,10,12,4,410,65,51.25,0,4,0
WJ O'Reilly (AUS),AUS,1932-1946,27,39,7,410,56*,12.81,0,1,6
AH Bakewell (ENG),WORLD,1931-1935,6,9,0,409,107,45.44,1,3,0
